57481,20026
53901,12004
53902,12005
57482,20027
57485,20030
57484,20029
57487,20032
46139,10656
46138,10655
46137,10653
46136,10654
46135,10652
46134,10651
46133,10650
46132,10649
46131,10648
46130,10647
57489,20034
36706,4055
30926,3088
64674,27076
64675,27077
64676,27079
64677,27078
64670,27072
64671,27073
64672,27074
64673,27075
63024,23719
63025,23720
63026,23721
53738,18212
63020,23715
63021,23716
63022,23717
63023,23718
53733,18207
53730,18206
53737,18211
53736,18210
53735,18209
53734,18208
46793,11524
46792,11523
46791,11522
46790,11521
46797,11528
46796,11527
46795,11526
46794,11525
46799,11531
46798,11530
69170,29800
69171,29799
69172,29802
69173,29801
69174,29803
69175,29804
69176,29805
69177,29806
69178,29807
69179,29808
44799,9690
44798,9689
44791,9682
44790,9681
44793,9684
44792,9683
44795,9686
44794,9685
44797,9688
44796,9687
46869,11600
46868,11599
46861,11592
46860,11591
46863,11594
46862,11593
46865,11596
46864,11595
46867,11598
46866,11597
54170,18964
54171,18965
54172,18966
54173,18967
54174,18968
54175,18969
54176,18970
54177,18971
54178,18972
54179,18973
62089,24037
62088,24036
62085,24033
62084,24032
62087,24035
62086,24034
62081,24029
62080,24028
62083,24031
62082,24030
40966,8067
40967,8060
40964,8065
40965,8068
40962,8071
40963,8072
40960,8062
40961,8076
40968,8075
40969,8061
65888,27195
65889,27197
65880,27185
65882,27187
65883,27221
65884,27210
65885,27188
65886,27216
65887,27192
66504,27766
50419,16962
50418,16966
66501,27764
66502,27765
50413,16960
50412,16958
50411,16957
50410,16955
50417,16963
50416,16961
50415,16965
50414,16959
55629,15655
55628,15654
55623,15650
55622,15648
55621,15647
55620,15646
55627,15653
55626,15652
55625,15651
55624,15649
65268,26679
65269,26680
65264,26675
65265,26676
65266,26677
65267,26678
65260,26672
65262,26673
65263,26674
46547,11278
32224,5099
32225,5100
32226,5101
32227,5102
32220,5095
32221,5096
32222,5097
32223,5098
32228,5103
32229,5104
57661,20206
57660,20205
57663,20208
57662,20207
57665,20358
57664,20209
57667,20359
57666,20360
57669,20362
57668,20361
52103,17835
52102,17837
52101,17836
52100,17832
52107,17841
52106,17838
52105,17833
52104,17834
52109,17839
52108,17840
60011,19041
57085,20214
57084,19647
57087,19644
57086,19648
57081,19642
57080,19641
57083,19646
57082,19645
57089,19643
57088,20215
55836,17329
55834,17327
55832,17316
55830,17314
37305,2370
37306,2371
37307,2372
37302,2368
37303,2369
37308,2373
37309,2374
37078,2187
33757,6184
37074,2183
33753,6182
68348,29082
33751,6180
68344,29078
68345,29079
68346,29080
68347,29081
68340,29074
68341,29075
68342,29076
68343,29077
67378,28111
67379,28112
67374,28106
67375,28107
67376,28109
67377,28110
67370,28103
67371,28104
67372,28108
67373,28105
30335,392
30336,393
30337,394
30330,388
30331,387
30332,389
30333,390
30339,396
35218,7224
35214,7215
35215,7208
35216,7223
35211,7222
35212,7214
63027,23722
43859,9113
43858,9112
43853,9107
43852,9106
43851,9105
43850,9104
43857,9111
43856,9110
43855,9109
43854,9108
32603,5254
32601,5253
55205,15353
32605,5255
42812,8417
42815,8418
38569,1875
38568,1868
38561,1864
38560,1863
38562,1865
38565,1869
38564,1867
38567,1871
38566,1870
44221,9489
44220,9486
44223,9494
44222,9495
36178,3566
36179,3567
44227,9492
44226,9493
36174,3563
36175,3564
36177,3565
36170,3559
36171,3560
36172,3561
36173,3562
33528,5994
33529,5995
33524,5992
33525,5993
33520,5988
33521,5989
33522,5990
33523,5991
41543,8494
41542,8492
41541,8490
41540,8491
41547,8497
41546,8496
41545,8495
41544,8493
41549,8499
41548,8498
55555,15578
44913,9795
44912,9794
44911,9793
44910,9788
44917,9797
44916,9798
44915,9796
44914,9799
44919,9801
44918,9800
55554,15579
65068,26511
65069,26512
65066,26509
65067,26510
65064,26507
65065,26508
65062,26506
65060,26504
65061,26505
43334,8469
56843,19475
56840,19473
56846,19483
56847,19484
56844,19477
56845,19482
69035,29821
69034,29822
52699,11098
52698,11097
69031,26205
69030,29854
69033,29293
69032,29292
52697,11095
52696,11094
52695,11096
45639,10092
45638,10091
45631,10084
45630,10083
45633,10086
45632,10085
45635,10088
45634,10087
45637,10090
45636,10089
63789,25506
63788,25507
63781,25498
63780,25499
63783,25501
63782,25500
63785,25502
63784,25503
63787,25505
63786,25504
37439,590
63257,24986
63256,24985
63255,24984
63254,24983
63253,24982
63252,24981
63251,24980
63250,24979
53560,19150
53561,19151
