2302,482
2789,1209
2788,1208
2852,1259
2100,641
2928,1334
1948,470
1949,471
2754,1181
2173,685
1942,307
1943,308
1940,266
1941,302
1946,469
1947,441
2855,1262
2171,684
2918,1324
2859,1266
1991,424
1799,272
1798,271
2914,1320
1399,33
2916,1322
1990,514
1793,265
1792,262
2853,1260
1790,261
1797,270
1796,269
1795,268
1794,267
1490,59
1491,60
1492,61
1493,62
1494,63
1495,64
1496,65
1497,66
1498,67
1499,68
2178,687
1994,516
1700,221
2798,1217
1704,222
1997,519
2318,548
1707,447
2316,546
1709,448
2314,506
1996,518
2312,391
2313,375
2310,374
1529,96
1669,199
1668,198
1667,197
1666,196
1665,195
1664,194
1663,193
1662,192
1661,190
1660,189
2896,1303
2382,698
2289,748
2856,1263
2828,1235
2829,1236
2824,1231
2825,1232
2826,1233
2827,1234
2381,697
2380,696
1409,43
1408,42
2385,702
2384,700
2387,490
2386,703
1403,37
1402,36
1401,35
1400,34
1407,41
1406,40
1405,39
1404,38
2442,789
2443,790
2440,787
2441,788
2446,793
2447,794
2444,791
2445,792
2448,795
2449,796
2285,744
2103,644
2515,832
2101,642
2046,619
1849,296
1848,295
2042,616
2043,617
2040,612
2041,615
2107,567
1841,292
2919,1325
1847,294
2048,620
1844,293
1537,103
1536,102
1535,101
1534,100
1533,99
1531,98
1530,97
2164,576
2167,682
2160,607
1539,105
1538,104
2861,1268
2838,1245
2483,830
2266,760
2480,825
2836,1243
1904,327
2389,492
1903,326
2867,1274
2832,1239
2689,1120
2388,491
2830,1237
2680,1117
2681,1118
2682,1119
2264,758
2276,484
2119,658
1623,722
1622,166
1621,721
1620,720
1627,167
1626,725
1625,724
1624,723
1999,425
1961,402
1629,169
1628,168
2265,759
2892,1299
2911,1317
2860,1267
2854,1261
2862,1269
2575,1114
2864,1271
2865,1272
2866,1273
2858,1265
2868,1275
2869,1276
2912,1318
2913,1319
2883,1290
2946,1349
2709,1125
2945,1348
2944,1347
2943,1346
2942,1345
2941,1344
2708,1140
2345,591
2344,590
2347,593
2346,592
2341,633
2340,632
2228,389
2342,588
2227,388
2224,387
2917,1323
2222,385
2223,386
2220,383
2221,384
1696,217
1697,218
1694,215
1695,216
1690,213
1758,247
1757,246
1756,461
1755,460
1754,459
1753,458
1752,457
1751,456
1750,245
1528,95
2701,1133
2514,831
2700,1132
2360,667
2857,1264
2843,1250
2325,559
1887,325
1886,324
1884,318
1883,317
1882,316
1881,315
1880,314
2121,660
2120,659
2123,570
2122,661
2125,571
2124,663
2127,551
2126,572
2083,561
2087,564
2084,562
2085,563
1579,139
1578,138
1573,133
1572,710
1571,132
1570,131
1577,137
1576,136
1575,135
1574,134
2712,1142
2713,1143
2710,1146
2717,1141
2714,1144
2715,1145
2349,595
2718,1147
2719,1148
2350,596
2348,594
1832,286
1833,287
1831,285
1836,290
1834,288
1835,289
1839,291
2454,801
2149,603
1371,5
1370,4
1373,7
1372,6
1375,9
1374,8
1377,11
1376,10
1379,13
1378,12
2017,429
2016,428
2011,532
2010,531
2408,366
2012,533
2922,1328
2356,648
1691,214
1955,396
1954,395
1957,398
1956,397
1951,392
1950,446
1953,394
1952,393
1959,400
1958,399
2357,662
2319,549
1698,219
2317,547
2881,1288
1699,220
2750,1177
2333,610
2845,1252
2902,1309
2901,1308
2315,545
2907,1314
2906,1313
2905,1312
2809,1228
2409,367
2909,1315
1993,515
1483,52
1482,51
1481,50
1480,49
1487,56
1486,55
1485,54
1484,53
1489,58
1488,57
1713,223
2411,369
1710,449
1717,225
1715,224
2410,368
2301,371
2300,481
1719,227
1718,226
2305,486
2304,488
2306,334
1659,188
1652,183
1653,184
1650,181
1651,182
1656,727
1657,187
1654,185
1655,726
2288,747
1630,170
2337,613
1631,171
2280,427
1995,517
2283,743
2284,740
1984,508
2286,745
2287,746
2060,627
1985,509
2839,1246
2418,768
2837,1244
1982,423
2835,1242
2834,1241
2833,1240
2062,628
2831,1238
1983,507
2275,483
2274,742
2277,485
2063,630
1980,421
2273,709
2272,708
2064,631
2574,1113
1981,422
2279,426
2278,479
2065,634
2885,1292
2378,694
2066,635
1639,350
2374,691
2375,692
2376,701
2067,636
2370,680
2371,681
2372,683
2373,690
2459,805
2458,804
2455,802
2257,751
2456,803
2451,798
2450,797
2453,800
2452,799
1877,311
1874,309
1875,310
2751,1178
1988,512
2516,833
1989,513
1878,312
1879,313
2882,1289
2050,622
2880,1287
2052,623
2055,624
2887,1294
2057,476
2056,475
2059,626
2058,625
2888,1295
2889,1296
1502,70
1503,71
1500,489
1501,69
1506,74
1507,75
1504,72
1505,73
2110,652
2111,568
1508,76
1509,77
2114,655
2115,656
2116,569
2117,657
1919,341
1918,328
2886,1293
1913,330
1915,331
2112,653
1916,332
2113,654
2015,535
2481,828
2150,573
2024,540
1977,418
2026,542
2027,543
2020,430
2021,431
2022,538
1976,417
2697,1129
2696,1128
2695,1127
2694,1126
2028,544
1975,416
2691,1122
2690,1121
2405,363
2106,649
1974,415
2014,534
1973,414
2256,750
2151,574
1972,413
1971,412
1970,411
1968,409
1969,410
1618,718
1619,719
1616,716
1617,717
1614,165
1615,715
1612,164
1613,714
1610,713
1963,404
2873,1280
2872,1279
2871,1278
2870,1277
2877,1284
2876,1283
2875,1282
2874,1281
2879,1286
2878,1285
2330,580
2331,581
2332,582
1479,48
2334,585
2335,586
2336,587
2182,689
2338,614
2339,629
2785,1202
1681,211
1680,210
2933,1339
2180,688
2187,434
2791,1211
2185,432
2094,601
2097,608
2090,565
2093,600
2092,599
2098,609
1546,111
1547,112
1545,110
1542,108
1543,109
1540,106
1541,107
2484,826
2482,829
2268,472
1548,113
1549,114
2269,474
2248,730
2249,477
2726,1155
2847,1254
2244,372
2245,729
2246,445
2247,453
2240,728
2241,505
2242,337
2243,338
2464,809
2465,810
2466,811
2467,812
2460,806
2461,807
2462,808
2705,1137
2704,1136
2707,1139
2706,1138
2468,813
2469,814
2703,1135
2702,1134
2262,756
2840,1247
2263,757
2841,1248
2260,754
2261,755
2383,699
1824,283
1827,284
1823,282
2267,761
2068,637
2069,480
2413,763
2412,370
1388,22
1389,23
2417,767
2140,666
1384,18
1385,19
1386,20
1387,21
1380,14
1381,15
1382,16
1383,17
2884,1291
1920,342
1921,343
1922,344
1923,473
1924,345
1925,329
1926,351
1927,352
1928,353
1929,354
2517,835
2025,541
1398,32
2752,1179
1986,510
2323,557
2935,1341
2699,1131
2322,553
2936,1342
2934,1340
2023,539
2932,1338
2321,552
2930,1336
2931,1337
2352,598
2320,550
1987,511
1647,179
1646,178
1641,176
1640,175
1728,452
1642,177
1726,230
1727,231
1724,229
2324,558
1649,180
1648,335
1720,450
1721,228
2354,645
2792,1212
2355,646
2415,765
2299,739
2298,738
2293,733
2292,732
2291,731
2290,741
2297,737
2296,736
2295,735
2294,734
2190,438
2191,647
2808,1227
2193,638
2194,639
2793,1213
2802,1221
2803,1222
2800,1219
2801,1220
2806,1225
2807,1226
2804,1223
2414,764
2406,364
1589,147
2407,365
1582,142
1583,143
1580,140
1581,141
1587,146
1584,144
1585,145
2157,575
2790,1210
2369,679
2368,678
2367,675
2019,537
2365,673
2364,672
2363,670
2362,669
2361,668
2018,536
2428,776
2429,777
2152,604
2343,589
2422,770
2153,671
2424,772
2425,773
2426,774
2427,775
1860,300
1863,301
2045,618
1865,467
1864,303
1867,304
1866,468
1869,306
1868,305
2416,766
2899,1306
2898,1305
2895,1302
2158,605
2897,1304
1729,232
2891,1298
2890,1297
2893,1300
2159,606
2109,651
2108,650
1519,86
1518,85
1515,81
2102,643
1517,84
1516,82
1511,78
1510,433
1513,80
1512,79
2734,1163
2735,1164
2736,1165
2737,1166
2730,1159
2731,1160
2732,1161
2733,1162
1722,451
2738,1167
2739,1168
2797,1216
2049,621
1817,281
2794,1214
2741,1170
2740,1169
2742,1171
2745,1173
2744,1172
2747,1175
2746,1174
2748,1176
2039,611
2436,784
1609,163
1608,162
1979,420
1978,419
1601,156
1600,712
1603,158
1602,157
1605,160
1604,159
1607,436
1606,161
1964,405
2163,677
1965,406
2162,676
1966,407
1788,259
1789,260
1967,408
2940,1343
2848,1255
2849,1256
2846,1253
1960,401
2844,1251
1783,462
2842,1249
1785,256
1786,257
1787,258
2698,1130
1962,403
2419,769
1775,251
1774,250
1777,253
1776,252
2327,566
2326,560
1773,249
1772,248
2329,579
2328,578
1779,255
1778,254
1678,208
1679,209
1674,204
1675,205
1676,206
1677,207
1670,200
1671,201
1672,202
1673,203
2366,674
2379,695
2753,1180
1551,116
1550,115
1553,118
1552,117
1555,120
1554,119
1557,122
1556,121
1559,124
1558,123
2863,1270
2396,499
2397,500
2394,497
2395,498
2392,495
2393,496
2259,753
2258,752
1410,44
1411,45
1412,46
1413,47
2253,466
2252,465
2251,464
2250,478
2477,822
2476,821
2475,820
2474,819
2473,818
2472,817
2471,816
2470,815
2479,824
2478,823
2805,1224
2724,1153
1858,706
1859,707
2787,1207
2786,1206
2781,1198
2783,1200
2782,1199
2693,1124
1852,297
1853,336
1854,298
1855,299
1856,704
1857,705
1524,89
1525,92
1526,94
1527,333
1520,339
1521,340
1522,87
1523,88
1397,31
1396,30
1395,29
1394,28
1393,27
1392,26
1391,25
1390,24
2390,493
2692,1123
2391,494
2174,686
1933,357
1932,191
1931,356
1930,355
1936,212
1935,359
1934,358
1939,264
1938,263
2255,749
2851,1258
1998,520
2175,577
2398,501
2209,583
2679,1116
2678,1115
2399,502
2929,1335
2903,1310
2377,693
2921,1327
2920,1326
2923,1329
2311,390
2925,1331
2924,1330
2927,1333
2926,1332
2900,1307
1739,237
1738,236
1632,172
1633,173
1634,174
1635,346
1636,347
1637,348
1638,349
1730,233
2904,1311
1735,454
1737,235
1736,234
2404,362
2814,1205
2810,1229
2813,1204
2812,1203
2910,1316
2818,1230
1595,152
1594,151
1597,154
1596,153
1591,148
2186,640
1593,150
1592,149
2189,437
2188,435
1599,711
1598,155
2212,377
2211,376
2210,584
2217,380
2216,379
2215,378
2799,1218
2219,382
2218,381
2402,360
2358,664
2359,665
1748,455
1749,244
1744,242
2353,602
1746,243
2351,597
1740,238
1741,239
1742,240
1743,241
2438,786
2433,781
2432,780
2431,779
2430,778
2437,785
2403,361
2435,783
2434,782
2400,503
2894,1301
1568,129
1569,130
1560,442
1561,443
1562,444
1563,125
1564,126
1565,127
2501,1104
1567,128
2727,1156
2309,373
2725,1154
2423,771
2723,1152
2722,1151
2721,1150
2720,1149
2401,504
2729,1158
2728,1157
2850,1257
2784,1201
2915,1321
1807,463
1806,279
1805,278
1804,277
1803,276
1802,275
1801,274
1800,273
1808,280
2002,523
2003,524
2000,521
2001,522
2006,527
2007,528
2004,525
2005,526
2008,529
2009,530
2303,439
1368,2
1369,3
